date,time,Open,High,Low,Close,7079,ema4,ema8,ema16,rsi
2008.11.11,00:00:00,152.96,153.5,151.91,152.14,4224,153.2405455810034,153.92797038872615,154.51646668932767,11.248521943809116
2008.11.11,04:00:00,152.15,154.26,152.15,153.34,5503,153.28032734860204,153.79731030234257,154.3780588435244,59.910522432614925
2008.11.11,08:00:00,153.35,153.62,151.87,152.52,7135,152.97619640916122,153.51346356848865,154.1594636854627,34.2475663069891
2008.11.11,12:00:00,152.54,153.29,151.61,152.43,8031,152.75771784549676,153.27269388660227,153.9559973695259,31.30407286089064
2008.11.11,16:00:00,152.41,152.75,149.75,150.64,10234,151.91063070729805,152.68765080069065,153.56588003193463,7.0842904925848
2008.11.11,20:00:00,150.65,151.53,149.74,150.22,6634,151.23437842437883,152.13928395609273,153.17224708700115,5.197288142862724
2008.11.12,00:00:00,150.2,151.17,149.07,151.17,4881,151.2086270546273,151.92388752140545,152.93668860617748,57.00521272375195
2008.11.12,04:00:00,151.18,151.22,150.11,150.73,5315,151.01717623277636,151.65857918331534,152.6770781819213,37.84667870727163
2008.11.12,08:00:00,150.72,151.73,149.11,149.62,8458,150.45830573966583,151.20556158702306,152.31742192522466,14.039668559265255
2008.11.12,12:00:00,149.6,149.87,147.21,147.26,11710,149.1789834437995,150.32877012324016,151.72243111049232,3.8204952299464146
2008.11.12,16:00:00,147.25,147.34,141.04,144.54,14141,147.3233900662797,149.04237676252012,150.87743921514027,1.4267175560461438
2008.11.12,20:00:00,144.55,144.56,141.34,142.13,7130,145.24603403976784,147.50629303751566,149.8483287192414,0.6760717408628778
2008.11.13,00:00:00,142.14,143.36,140.26,142.63,6923,144.1996204238607,146.42267236251217,148.99911357580123,18.474225460272226
2008.11.13,04:00:00,142.62,143.68,142.17,142.33,5272,143.4517722543164,145.51318961528725,148.21451197864815,15.204728229865475
2008.11.13,08:00:00,142.34,143.89,141.34,143.55,9367,143.49106335258986,145.07692525633453,147.66574586351305,65.23937709358518
2008.11.13,12:00:00,143.56,143.84,141.81,141.89,11505,142.8506380115539,144.36871964381575,146.98624635015858,25.03671475412942
2008.11.13,16:00:00,141.9,143.35,139.65,139.79,14073,141.62638280693233,143.35122638963446,146.13962913249284,9.78323820226071
2008.11.13,20:00:00,139.81,145.81,138.87,144.92,12564,142.9438296841594,143.69984274749348,145.99614335219957,77.31305539440076
2008.11.14,00:00:00,144.94,146.29,143.33,143.67,6373,143.23429781049563,143.69321102582825,145.7224794284114,56.64873247651474
2008.11.14,04:00:00,143.66,144.92,143.48,143.56,4999,143.36457868629736,143.6636085756442,145.46807008389243,54.103618012765686
2008.11.14,08:00:00,143.57,144.72,143.15,143.75,8485,143.51874721177842,143.68280666994548,145.26594419166977,60.2699529784662
2008.11.14,12:00:00,143.76,144.41,140.89,142.56,8342,143.13524832706705,143.43329407662426,144.9475978161792,22.464035109644442
2008.11.14,16:00:00,142.55,144.41,141.75,143.07,11172,143.10914899624024,143.35256205959664,144.72670395545225,49.57553088306951
2008.11.14,20:00:00,143.06,146.07,142.55,143.65,7007,143.32548939774415,143.4186593796863,144.60003290186964,71.91327174728914
2008.11.17,00:00:00,140.53,143.1,140.43,143.1,5756,143.23529363864648,143.34784618420045,144.42355844282613,39.07987677144501
2008.11.17,04:00:00,143.11,144.08,142.15,142.73,5241,143.0331761831879,143.21054703215592,144.22431627308188,24.208659566759113
2008.11.17,08:00:00,142.71,145.07,142.27,144.42,7652,143.58790570991272,143.4793143583435,144.24733788801342,83.06803560884534
2008.11.17,12:00:00,144.41,144.65,143.49,144.17,8258,143.82074342594763,143.63280005648937,144.238239312953,67.5480247881297
2008.11.17,16:00:00,144.16,146.47,144.13,145.64,11341,144.54844605556858,144.0788444883806,144.40315233495852,89.84980910158384
2008.11.17,20:00:00,145.63,146.17,144.32,144.54,7173,144.54506763334115,144.18132349096268,144.41925206025752,44.2937435763722
2008.11.18,00:00:00,144.55,145.14,143.86,144.68,4205,144.5990405800047,144.292140492971,144.4499282884625,50.66142072730523
2008.11.18,04:00:00,144.69,145.03,144.49,144.96,3751,144.7434243480028,144.4405537167552,144.50993672511396,66.14227265559921
2008.11.18,08:00:00,144.95,145.82,144.17,144.3,8660,144.5660546088017,144.40931955747627,144.48523828686527,26.678979258474683
2008.11.18,12:00:00,144.31,145.52,144.17,145.01,7850,144.743632765281,144.54280410025933,144.54697495899876,67.89355537845842
2008.11.18,16:00:00,145.03,146.51,144.83,145.29,10874,144.9621796591686,144.70884763353502,144.63438966970477,77.75569040670469
2008.11.18,20:00:00,145.3,145.49,143.56,145.1,8315,145.01730779550115,144.79577038163836,144.68916735562186,54.878357256204396
2008.11.19,00:00:00,145.09,145.39,143.83,144.28,3567,144.72238467730068,144.68115474127427,144.64103001966635,15.504160238105788
2008.11.19,04:00:00,144.26,144.61,143.88,144.42,2878,144.6014308063804,144.6231203543244,144.6150264879409,32.13150817702464
2008.11.19,08:00:00,144.4,145.13,144.29,144.7,6542,144.64085848382823,144.6402047200301,144.62502337171256,62.02379776962847
2008.11.19,12:00:00,144.71,146.27,144.54,145.53,7555,144.99651509029695,144.83793700446788,144.7314912103346,89.48378788678536
2008.11.19,16:00:00,145.54,147.87,144.99,145.41,11819,145.16190905417818,144.96506211458615,144.81131577382465,74.00953558728078
2008.11.19,20:00:00,145.4,145.84,143.01,143.09,8785,144.3331454325069,144.5483816446781,144.60880803572763,9.628447446853837
2008.11.20,00:00:00,143.1,143.87,142.85,143.41,4176,143.96388725950413,144.29540794586075,144.46777179623027,27.118136595954542
2008.11.20,04:00:00,143.42,143.44,141.74,142.43,4633,143.3503323557025,143.8808728467806,144.22803393785023,12.408906331746746
2008.11.20,08:00:00,142.44,142.68,141.04,141.65,8537,142.6701994134215,143.3851233252738,143.9247358275149,6.659164331602969
2008.11.20,12:00:00,141.66,142.67,141.24,141.27,8685,142.1101196480529,142.9150959196574,143.61241396545432,4.587859722872283
2008.11.20,16:00:00,141.28,142.69,139.12,142.08,13306,142.09807178883173,142.72951904862242,143.4321299695185,58.98081654985004
2008.11.20,20:00:00,142.06,142.21,137.65,137.98,10430,140.45084307329904,141.67407037115078,142.79070291428104,8.71051147869106
2008.11.21,00:00:00,137.99,139.34,137.86,138.91,5004,139.83450584397943,141.05983251089503,142.33414963024796,34.16594228457734
2008.11.21,04:00:00,138.9,141.01,138.8,140.78,5324,140.21270350638767,140.9976475084739,142.15130849727763,68.96623127779593
2008.11.21,08:00:00,140.76,142.95,140.44,142.69,7456,141.2036221038326,141.37372583992413,142.21468396818614,85.07867427459506
2008.11.21,12:00:00,142.7,143.2,141.28,142.2,7828,141.60217326229957,141.55734231994097,142.21295644251717,67.18199421347055
2008.11.21,16:00:00,142.19,142.78,139.49,140.76,10987,141.26530395737973,141.38015513773186,142.04202039045632,30.040654746870285
2008.11.21,20:00:00,140.78,142.72,140.02,142.63,7359,141.81118237442783,141.6578984404581,142.11119446216733,71.27947198906408
2008.11.24,00:00:00,142.97,143.68,141.04,141.48,3682,141.6787094246567,141.61836545368965,142.03693629014765,41.321085630445616
2008.11.24,04:00:00,141.46,142.78,141.17,142.35,4156,141.947225654794,141.7809509084253,142.07376731483615,64.13103099712525
2008.11.24,08:00:00,142.34,142.86,141.42,142.52,7158,142.1763353928764,141.94518403988633,142.1262652777966,68.86145580497623
2008.11.24,12:00:00,142.51,144.11,142.44,143.7,8708,142.78580123572584,142.3351431421338,142.31141053923227,89.00014651297774
2008.11.24,16:00:00,143.69,146.8,143.5,146.2,11529,144.1514807414355,143.19400022165962,142.76889165226376,97.0592117888479
2008.11.24,20:00:00,146.21,147.79,145.87,147.79,7639,145.60688844486128,144.21533350573526,143.3596102814092,98.477800431705
2008.11.25,00:00:00,147.78,147.93,145.81,146.14,4207,145.82013306691675,144.64303717112742,143.6867149541846,49.21001491599021
2008.11.25,04:00:00,146.13,146.64,145.27,145.77,4020,145.80007984015006,144.8934733553213,143.93180731251582,40.19198056024147
2008.11.25,08:00:00,145.78,146.38,144.61,145.07,7473,145.50804790409003,144.93270149858324,144.06571233457277,23.734467847420735
2008.11.25,12:00:00,145.06,146.61,143.72,146.26,9661,145.808828742454,145.2276567211203,144.32386382462303,68.11917077984658
2008.11.25,16:00:00,146.25,148.15,145.22,145.9,12507,145.8452972454724,145.37706633864912,144.5092916099615,50.37953489904128
2008.11.25,20:00:00,145.89,148.58,145.49,147.35,8054,146.44717834728345,145.8154960411715,144.84349259702486,83.98219972504538
2008.11.26,00:00:00,147.34,147.53,145.61,146.51,3912,146.47230700837008,145.96983025424453,145.03955229149253,47.059117498740285
2008.11.26,04:00:00,146.52,146.58,145.62,146.08,4062,146.31538420502204,145.99431241996797,145.1619579042581,32.45184201516807
2008.11.26,08:00:00,146.07,146.93,145.31,146.48,8034,146.38123052301322,146.1022429933084,145.3170216802277,57.18006745812096
2008.11.26,12:00:00,146.47,146.61,144.55,146.09,8900,146.26473831380792,146.09952232812876,145.40796030608325,33.3632924271381
2008.11.26,16:00:00,146.1,146.63,144.71,145.99,12119,146.15484298828477,146.07518403298903,145.47643556419112,27.49114992843917
2008.11.26,20:00:00,145.98,147.23,145.69,146.57,4623,146.32090579297085,146.18514313676923,145.60509020369804,76.16150470941481
2008.11.27,00:00:00,146.61,146.93,146.15,146.38,15438,146.3445434757825,146.22844466193163,145.6962560620865,52.89825273760476
2008.11.27,04:00:00,146.35,146.55,146,146.26,3087,146.3107260854695,146.23545695928016,145.76257887831161,38.170893617282815
2008.11.27,08:00:00,146.27,147.75,145.68,147.36,6194,146.7304356512817,146.48535541277346,145.95051077498084,89.87100231976326
2008.11.27,12:00:00,147.37,147.88,146.86,147.45,5846,147.01826139076903,146.6997208766016,146.12692127204193,91.09013119009036
2008.11.27,16:00:00,147.44,147.54,146.46,147.04,5139,147.02695683446143,146.77533845957902,146.2343422988605,43.44626825204528
2008.11.27,20:00:00,147.05,147.08,146.7,146.7,775,146.89617410067686,146.75859657967257,146.28912555781807,23.264619359883916
2008.11.28,00:00:00,146.72,147.08,146.59,146.89,2735,146.89370446040613,146.78779733974534,146.359816668663,49.488585561290364
2008.11.28,04:00:00,146.9,146.93,146.24,146.89,2990,146.89222267624368,146.81050904202414,146.42219117823205,49.488585561290364
2008.11.28,08:00:00,146.9,147.15,146.48,146.61,5270,146.77933360574622,146.76595147712987,146.44428633373417,16.416850257111186
