date,time,Open,High,Low,Close,137768,ema4,ema8,ema16,rsi
1978.01.24,00:00:00,469.27,470.43,468.11,469.27,465,468.0525735299891,467.07254942786466,465.3449999999999,98.78803334530852
1978.01.25,00:00:00,470.6,471.19,470.02,470.6,235,469.0715441179935,467.85642733278365,465.96323529411757,99.50095074996409
1978.01.26,00:00:00,470.46,471.37,469.56,470.46,363,469.6269264707961,468.4349990366095,466.49226643598604,88.53671554257545
1978.01.27,00:00:00,469.8,469.86,469.75,469.8,23,469.6961558824777,468.7383325840296,466.8814115611641,43.42258038218976
1978.01.30,00:00:00,471.14,471.36,470.93,471.14,87,470.2736935294866,469.27203645424527,467.38242196573304,81.56542897303954
1978.01.31,00:00:00,470.64,470.7,470.58,470.64,25,470.4202161176919,469.57602835330187,467.7656664403527,54.26435069773736
1978.02.01,00:00:00,470.95,471.23,470.67,470.95,113,470.63212967061514,469.8813553859015,468.1402939179583,67.67901804124956
1978.02.02,00:00:00,471,471.36,470.65,471,143,470.77927780236905,470.1299430779234,468.4767299276103,70.47275957811972
1978.02.03,00:00:00,470.39,471.28,469.5,470.39,357,470.62356668142144,470.1877335050515,468.70182052436195,22.666811431662257
1978.02.06,00:00:00,468.09,468.78,467.41,468.09,275,469.61014000885285,469.72157050392894,468.62984163914285,3.706448651957465
1978.02.07,00:00:00,466.73,466.85,466.62,466.73,47,468.4580840053117,469.0567770586114,468.40633085806724,1.8632579691787508
1978.02.08,00:00:00,466.65,467,466.31,466.65,139,467.734850403187,468.5219377122533,468.19970369829457,1.7602731037189272
1978.02.09,00:00:00,467.17,467.48,466.87,467.17,123,467.5089102419122,468.2215071095303,468.07856208673047,42.8349611565111
1978.02.10,00:00:00,466.96,467.63,466.29,466.96,269,467.2893461451473,467.9411721963013,467.9469665471151,32.02131346535228
1978.02.13,00:00:00,467.3,467.3,467.3,467.3,1,467.2936076870884,467.7986894860121,467.8708528356898,62.596755053568074
1978.02.14,00:00:00,467.28,468.54,466.02,467.28,505,467.288164612253,467.6834251557872,467.8013407373734,59.45089471317233
1978.02.15,00:00:00,465.81,465.85,465.78,465.81,15,466.6968987673518,467.2671084545011,467.5670653565059,7.087927918833055
1978.02.16,00:00:00,466.18,466.31,466.05,466.18,53,466.49013926041107,467.0255287979453,467.4038811969169,35.62900949311474
1978.02.17,00:00:00,465.9,466.37,465.43,465.9,189,466.25408355624666,466.77541128729075,467.2269539972796,24.321358183133267
1978.02.20,00:00:00,468.08,468.08,468.08,468.08,1,466.98445013374794,467.06531989011506,467.3273123505408,87.26363902140471
1978.02.21,00:00:00,462.74,463.74,461.75,462.74,399,465.28667008024877,466.1041376923117,466.78762854459484,17.19619524827464
1978.02.22,00:00:00,464.35,465.19,463.52,464.35,335,464.91200204814925,465.7143293162424,466.50084871581896,44.20866619711289
1978.02.23,00:00:00,465.08,465.13,465.03,465.08,21,464.97920122888956,465.5733672459663,466.33369004336964,56.945456275534475
1978.02.24,00:00:00,463.68,464.89,462.47,463.68,485,464.4595207373337,465.15261896908487,466.0214912147379,30.360454724728353
1978.02.27,00:00:00,460.71,462.28,459.15,460.71,627,462.9597124424002,464.1653703092882,465.39660989535696,10.18540950633294
1978.02.28,00:00:00,462.16,462.24,462.09,462.16,31,462.63982746544013,463.7197324627797,465.01583226060905,45.529122162224546
1978.03.01,00:00:00,461.47,462.03,460.91,461.47,225,462.1718964792641,463.2197919154953,464.59867552406683,33.1236240993623
1978.03.02,00:00:00,462.55,462.84,462.27,462.55,115,462.32313788755846,463.0709492676075,464.3576548741766,63.90838958818697
1978.03.03,00:00:00,461.27,462.94,459.6,461.27,669,461.9018827325351,462.6707383192503,463.9944013595676,30.561549062827016
1978.03.06,00:00:00,458.88,459.78,457.98,458.88,361,460.6931296395211,461.8283520260835,463.39270708197137,10.364891440185554
1978.03.07,00:00:00,457.15,457.95,456.35,457.15,321,459.27587778371264,460.7887182425094,462.6582709546806,5.297089409548241
1978.03.08,00:00:00,454.87,456.26,453.49,454.87,555,457.51352667022763,459.4734475219517,461.74200378354163,2.31438796281456
1978.03.09,00:00:00,453.09,453.54,452.65,453.09,179,455.74411600213654,458.05490362818466,460.7241209854779,1.231581566661904
1978.03.10,00:00:00,450.64,452.72,448.56,450.64,833,453.7024696012819,456.4071472663659,459.53775381071574,0.5382961938552223
1978.03.13,00:00:00,447.49,448.2,446.79,447.49,283,451.21748176076915,454.42555898495124,458.120371009455,0.21993573519748952
1978.03.14,00:00:00,446.59,446.81,446.37,446.59,89,449.36648905646143,452.68432365496204,456.7638567730486,0.16438192736676363
1978.03.15,00:00:00,445.31,446.39,444.24,445.31,431,447.74389343387685,451.0455850649705,455.41634421151343,0.09565534654008481
1978.03.16,00:00:00,447.67,451.05,444.3,447.67,1351,447.7143360603261,450.2954550505326,454.5050095983942,60.6940432525658
1978.03.17,00:00:00,441.98,443.3,440.67,441.98,527,445.42060163619567,448.44757615041425,453.03147905740667,15.463952433936498
1978.03.20,00:00:00,439.95,440.13,439.78,439.95,71,443.2323609817174,446.55922589476666,451.49248152124113,10.095710779611137
1978.03.21,00:00:00,438.88,439.73,438.04,438.88,339,441.49141658903045,444.8527312514852,450.00866016580096,7.390946845643299
1978.03.22,00:00:00,437.7,438.13,437.28,437.7,171,439.97484995341824,443.2632354178218,448.56058249923615,4.645737937303574
